2026-07-09 15:22:39 | edith                          | INFO     | Orchestrator processing request: 'Hello EDITH'
2026-07-09 15:22:39 | edith                          | DEBUG    | State transition: READY -> UNDERSTANDING
2026-07-09 15:22:39 | edith                          | DEBUG    | State transition: UNDERSTANDING -> PLANNING
2026-07-09 15:22:39 | edith                          | DEBUG    | State transition: PLANNING -> EXECUTING
2026-07-09 15:22:39 | edith                          | INFO     | Dispatching Chat Pipeline...
2026-07-09 15:22:39 | edith                          | DEBUG    | Executing pipeline stage: MemoryStage
2026-07-09 15:22:39 | edith                          | ERROR    | Error in pipeline stage MemoryStage: 'MemoryManager' object has no attribute 'store'
2026-07-09 15:22:39 | edith                          | DEBUG    | State transition: EXECUTING -> RESPONDING
2026-07-09 15:22:39 | edith                          | INFO     | Request complete. Telemetry: {'context_duration': 0.0, 'memory_duration': 0.0, 'planner_duration': 0.001, 'pipeline_duration': 0.008, 'voice_duration': 0.0}
2026-07-09 15:22:39 | edith                          | INFO     | Orchestrator processing request: 'break things'
2026-07-09 15:22:39 | edith                          | DEBUG    | State transition: READY -> UNDERSTANDING
2026-07-09 15:22:39 | edith                          | DEBUG    | State transition: UNDERSTANDING -> PLANNING
2026-07-09 15:24:28 | edith                          | INFO     | Planner processing input: 'Say hi'
2026-07-09 15:24:28 | edith                          | INFO     | Planner processing input: 'Say hi'
2026-07-09 15:24:28 | edith                          | WARNING  | Planner Validation Error (Attempt 1/3): Invalid JSON string: Expecting value: line 1 column 1 (char 0)
2026-07-09 15:24:28 | edith                          | INFO     | Planner processing input: 'Fail me'
2026-07-09 15:24:28 | edith                          | WARNING  | Planner Validation Error (Attempt 1/3): Invalid JSON string: Expecting value: line 1 column 1 (char 0)
2026-07-09 15:24:28 | edith                          | WARNING  | Planner Validation Error (Attempt 2/3): Invalid JSON string: Expecting value: line 1 column 1 (char 0)
2026-07-09 15:24:28 | edith                          | WARNING  | Planner Validation Error (Attempt 3/3): Invalid JSON string: Expecting value: line 1 column 1 (char 0)
2026-07-09 15:24:28 | edith                          | INFO     | Launched chrome at https://github.com via subprocess.
2026-07-09 15:24:28 | edith                          | WARNING  | Browser 'chrome' requested but executable not found. Falling back.
2026-07-09 15:24:28 | edith                          | INFO     | Launching https://github.com via default webbrowser module.
2026-07-09 15:24:28 | edith                          | INFO     | Launching https://github.com via default webbrowser module.
2026-07-09 15:24:28 | edith                          | ERROR    | Failed to launch default browser: webbrowser.open returned False.
2026-07-09 15:24:28 | edith                          | INFO     | Building Application Index from Windows Registry...
2026-07-09 15:24:28 | edith                          | INFO     | Application Index built. Found 1 executables.
2026-07-09 15:24:28 | edith                          | INFO     | Building Application Index from Windows Registry...
2026-07-09 15:24:28 | edith                          | INFO     | Application Index built. Found 32 executables.
2026-07-09 15:24:28 | edith                          | INFO     | Building Application Index from Windows Registry...
2026-07-09 15:24:28 | edith                          | INFO     | Application Index built. Found 32 executables.
2026-07-09 15:24:28 | edith                          | INFO     | Registered capability: filesystem v1.0
2026-07-09 15:24:28 | edith                          | INFO     | Dispatching Execution Pipeline...
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ContextResolutionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: PermissionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ExecutionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | CapabilityResolver routing execution plan...
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: MemoryStage
2026-07-09 15:24:28 | edith                          | INFO     | Dispatching Execution Pipeline...
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ContextResolutionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: PermissionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ExecutionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | CapabilityResolver routing execution plan...
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: MemoryStage
2026-07-09 15:24:28 | edith                          | INFO     | Dispatching Execution Pipeline...
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ContextResolutionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: PermissionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ExecutionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | CapabilityResolver routing execution plan...
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: MemoryStage
2026-07-09 15:24:28 | edith                          | INFO     | Dispatching Execution Pipeline...
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ContextResolutionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: PermissionStage
2026-07-09 15:24:28 | edith                          | DEBUG    | Executing pipeline stage: ExecutionStage
